City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
332,balykshi,0,AR,1588876085,33,-31.41,-64.18,295.15,4.6
333,polewali,45,AU,1588876086,96,-38.33,143.58,283.71,5.13
334,husavik,35,AR,1588876088,44,-43.3,-65.1,293.68,2.24
335,lolua,100,IN,1588876088,80,11.67,92.75,301.95,1.95
336,neryungri,25,BD,1588875879,79,22.97,90.23,300.42,2.65
337,gimli,100,SE,1588875891,38,65.58,22.15,279.15,4.1
338,padang,75,JP,1588876089,77,28.37,129.48,294.15,6.2
339,champerico,78,RU,1588876090,69,50.6,97.52,277.43,1.81
340,chaihe,36,PG,1588876090,79,-2.02,147.27,300.53,1.95
341,olga,31,TR,1588876090,76,39.92,44.05,286.15,1
342,nhulunbuy,90,CL,1588876091,93,-45.58,-72.07,287.15,4.1
343,karasjok,70,MN,1588876091,55,46.68,113.28,280.29,2.81
344,caravelas,40,BR,1588876014,29,-22.08,-51.47,298.15,4.1
345,progreso,64,ML,1588876092,9,20,-3,313.29,2.14
346,melito di porto salvo,22,CN,1588876030,90,21.32,110.58,299.59,5.86
347,ramhormoz,7,ID,1588876093,79,-5.67,132.75,301.43,8.51
348,maniitsoq,1,US,1588876093,42,31.34,-94.73,302.59,5.7
349,karaul,66,GE,1588876094,84,43,41.02,287.84,1.9
350,santa rosa,1,MN,1588876095,44,48.01,91.64,281.66,0.77
351,khasan,90,CA,1588876095,87,50.83,-118.99,285.37,1.5
352,sibolga,80,GL,1588876096,91,72.79,-56.15,266.26,3.45
353,san carlos,100,AR,1588876096,71,-51.62,-69.22,285.15,10.3
354,nzega,0,NA,1588876096,77,-26.65,15.16,290.15,3.1
355,churapcha,5,IT,1588876098,47,46.62,10.7,287.15,0.51
356,falealupo,20,PT,1588876098,56,33.08,-16.33,294.15,1.5
357,esperance,91,TR,1588876099,100,40.91,37.68,279.94,1.53
358,grand gaube,20,PG,1588876099,77,-6.22,155.63,299.05,0.45
359,pombas,78,PH,1588876099,81,12.22,125.48,300.96,2.91
360,guerrero negro,96,RU,1588876100,52,59.7,30.79,281.48,5
361,pisco,17,SO,1588876100,71,11.28,49.18,303.73,4.52
362,campbellsville,82,KG,1588876100,44,42.34,78,284.67,5.42
363,gamba,40,CM,1588876100,74,4.02,9.21,303.15,1
364,kabanjahe,40,BR,1588875805,74,-16.28,-39.02,302.15,4.6
365,narsaq,97,RO,1588876102,68,46.43,26.4,282.04,1.47
366,gorontalo,0,NA,1588876096,18,-22.68,14.53,301.15,4.6
367,elko,91,BR,1588876103,70,-14.41,-56.45,295.43,4.45
368,yeletskiy,67,AO,1588875853,87,-6.13,12.37,299.92,2.82
369,matara,100,RU,1588876103,89,62.67,135.6,274.06,2.57
370,cordoba,75,CN,1588876104,88,23.19,116.61,301.15,4
371,colac,40,CA,1588876104,22,54.77,-101.86,279.15,2.6
372,dzhusaly,0,PG,1588876104,77,-3.67,152.43,299.44,2.11
373,rawson,27,AU,1588876105,92,-12.07,134.27,295.82,3.84
374,port blair,73,RU,1588876105,62,59.06,80.86,281.4,2.66
375,gaurnadi,100,BR,1588876106,91,3.08,-59.95,298.15,2.69
376,lulea,25,SB,1588876106,86,-8.77,160.7,298.71,1.17
377,naze,100,RU,1588876071,80,49.6,128.68,283.74,3.82
378,kungurtug,0,RU,1588876108,85,66.32,-179.17,267.04,0.41
379,lorengau,75,US,1588876108,28,42.25,-75.83,288.71,4.1
380,igdir,17,AR,1588876108,49,-38.55,-58.74,291.48,4.92
381,coihaique,56,NG,1588876109,62,7.32,9,303.64,4.26
382,baruun-urt,40,CO,1588876109,70,10.99,-74.95,305.15,6.2
383,alvares machado,66,FR,1588875951,57,49.1,6.7,292.04,1.01
384,tombouctou,20,IR,1588876109,58,36.97,46.1,285.15,2.1
385,zhongshan,88,FR,1588876110,53,46.17,-1.15,296.15,3.1
386,tual,2,RU,1588876110,74,53.05,158.65,271.15,2
387,lufkin,75,BR,1588875960,48,-32.03,-52.1,292.15,4.1
388,sukhumi,79,VU,1588876111,80,-13.88,167.55,298.96,2.23
389,tabiauea,62,SD,1588876111,17,14.2,24.67,299.81,2.28
390,hovd,14,NU,1588876112,100,-19.06,-169.92,294.15,1
391,sicamous,100,RU,1588875864,93,55.65,109.32,274.37,1.95
392,upernavik,86,GR,1588876113,73,35.03,25.95,291.48,4.92
393,rio gallegos,1,US,1588876113,47,29.7,-91.21,297.59,2.6
394,luderitz,0,NE,1588876113,9,18.74,7.39,306.06,2.87
395,lasa,84,SO,1588876113,79,2.04,45.34,301.39,4.69
396,camacha,100,ID,1588876114,90,-7.38,108.21,297.1,0.47
397,ordu,16,VN,1588875992,76,17.48,106.6,301.24,2.45
398,kieta,98,RU,1588876115,92,61.28,108.01,269.64,3.39
399,alugan,1,US,1588875942,34,34.23,-77.94,293.71,5.7
400,nikolskoye,71,GB,1588876115,48,51.38,1.39,290.37,3.1
401,bosaso,40,BS,1588876116,58,24.7,-77.77,302.15,6.2
402,kyzyl-suu,1,US,1588876116,30,32.35,-85.2,293.71,2.6
403,limbe,24,IR,1588876035,10,36.3,59.61,299.15,2.1
404,santa cruz cabralia,75,TR,1588875903,82,40.92,39.83,288.15,5.1
405,asau,100,ZA,1588876117,77,-33.01,17.94,290.15,4.1
406,swakopmund,67,BR,1588876117,79,-0.72,-48.52,301.95,4.15
407,diamantino,44,GL,1588876118,81,61.99,-49.67,276.99,1.76
408,soyo,0,MG,1588875912,64,-20.28,44.28,298.89,7.38
409,khandyga,20,VU,1588876119,94,-15.53,167.17,293.15,1
410,haimen,37,GW,1588876119,72,11.28,-15.83,299.53,6.9
411,flin flon,61,BR,1588876120,82,-0.61,-47.36,301.66,4.56
412,vitimskiy,0,PT,1588876120,82,37.32,-8.8,294.26,3.46
413,namatanai,13,CL,1588876121,48,-22.09,-70.2,296.17,3.14
414,maningrida,88,GF,1588876121,73,5.38,-52.95,301.02,5.39
415,palabuhanratu,40,RU,1588876121,60,61.73,130.28,279.15,1
416,kargasok,22,RU,1588876122,88,59.08,42.29,285.65,1.43
417,bonfim,91,ID,1588875982,83,-2.88,108.27,301.59,2.97
418,auki,20,KH,1588876122,88,10.62,104.18,299.15,1
419,poyarkovo,39,BR,1588876123,72,-2.92,-39.92,302.44,5.18
420,egvekinot,75,US,1588876123,26,43.21,-75.46,289.15,6.7
421,broome,90,CN,1588876030,100,38.51,115,287.15,2
422,necochea,90,AU,1588876126,93,-20.02,148.23,293.15,6.19
423,gboko,75,AU,1588876126,83,-12.5,131.05,297.15,2.1
424,puerto colombia,56,US,1588876127,38,25.09,-80.45,301.48,3.58
425,saint-avold,75,BR,1588876127,73,-12.74,-60.15,296.15,3.6
426,miandoab,40,SA,1588876127,35,17.49,44.13,302.15,2.1
427,la rochelle,90,CL,1588876128,82,-29.95,-71.34,288.15,2.1
428,petropavlovsk-kamchatskiy,85,UA,1588876128,82,48.04,24.35,276.47,1.27
429,rio grande,67,NL,1588876128,62,53.33,6.52,288.15,2.6
430,sola,39,CN,1588876129,89,22.81,115.83,299.26,3.43
431,kutum,1,US,1588876129,12,34.76,-112.45,302.59,3.6
432,alofi,92,RU,1588876130,72,66.42,112.4,263.15,4
433,severobaykalsk,11,TL,1588876130,100,-8.93,125.41,287,1.63
434,koutsouras,0,VN,1588875926,74,9.29,105.72,302.59,3.27
435,morgan city,40,LR,1588876131,74,5.88,-10.05,304.15,5.1
436,arlit,33,JP,1588876057,85,24.34,124.16,297.45,4.49
437,mogadishu,90,AU,1588876132,100,-37.83,140.77,284.15,4.1
438,kawalu,75,NO,1588876132,86,70.95,27.35,277.15,5.1
439,dong hoi,75,CA,1588876103,30,54.27,-110.73,288.15,1.5
440,yerbogachen,66,GL,1588876133,78,60.14,-45.24,278.24,0.32
441,wilmington,92,PT,1588876133,68,42.03,-8.16,296.48,4.6
442,margate,0,RU,1588876134,90,68.05,166.44,265.43,1.04
443,andros town,94,NG,1588876134,83,4.92,6.26,299.65,1.81
444,russell,78,FI,1588876134,87,66.71,27.43,274.66,2.67
445,mashhad,44,CU,1588876084,41,22.15,-80.44,307.15,3.6
446,trabzon,81,CN,1588876135,93,18.8,110.4,299.37,4.7
447,saldanha,40,US,1588876135,33,34.38,-86.33,292.59,2.1
448,soure,14,IS,1588876135,70,63.44,-20.27,281.15,9.3
449,paamiut,40,GB,1588876136,52,51.78,-1.49,295.15,3.1
450,toftir,8,ZW,1588876136,90,-20.19,32.62,286.25,1.42
451,morondava,47,AO,1588876136,66,-11.78,19.92,291.05,2.03
452,luganville,30,CN,1588876137,78,20.01,110.35,301.15,2
453,bubaque,67,AR,1588876137,32,-40.81,-63,292.68,7.31
454,karamay,100,ES,1588876138,55,39.49,-1.1,292.04,2.68
455,salinopolis,99,LK,1588876011,83,7.42,81.82,300.14,4.18
456,aljezur,71,KZ,1588876139,73,43.3,52.8,289.89,2
457,tocopilla,0,KZ,1588876139,36,47.8,67.71,289.49,8.35
458,sinnamary,33,PE,1588876140,64,-10.07,-78.15,297.42,4.5
459,mayya,41,SB,1588876140,78,-8.14,159.59,299.94,0.47
460,soligalich,49,PE,1588876140,54,-6.54,-80.01,301.15,8.7
461,manggar,1,US,1588876141,33,34.42,-119.7,303.71,2.1
462,kampot,73,VN,1588876141,74,14.35,108,297.86,0.81
463,itarema,76,CD,1588876141,78,-5.25,14.87,296.96,1.42
464,roma,100,ID,1588876047,85,-3.8,102.27,299.06,1.99
465,dingzhou,100,RU,1588876142,88,54.72,135.31,274.51,5.46
466,yuzhno-yeniseyskiy,0,ML,1588876142,8,18.44,1.41,310.15,5.34
467,bowen,20,US,1588875848,47,45.52,-122.68,290.93,1.5
468,howard springs,1,PH,1588876143,80,5.26,120.08,300.14,1.19
469,key largo,40,IE,1588876143,72,55.25,-7.27,291.15,3.6
470,vilhena,58,WS,1588876144,77,-13.87,-171.6,301.98,8.19
471,najran,84,HU,1588876144,73,46.28,21.02,289.26,4.1
472,coquimbo,20,IN,1588876144,62,34.17,77.58,276.33,2.32
473,bohdan,0,SA,1588876144,18,29.97,40.21,299.15,3.23
474,winsum,75,AR,1588876145,93,-41.15,-71.31,285.37,1.5
475,jieshi,99,ES,1588876145,88,43.21,-8.69,288.71,1.34
476,chino valley,1,AX,1588876145,52,60.1,19.93,281.15,2.1
477,kawana waters,1,GL,1588876145,69,66.94,-53.67,276.72,4.4
478,udachnyy,60,MG,1588876146,91,-14.55,48.73,290.9,0.8
479,airai,100,CG,1588876146,82,1.65,14.58,298.16,0.35
480,bac lieu,91,SS,1588876146,94,4.92,29.47,294.15,0.46
481,buchanan,1,US,1588876146,32,33.19,-82.53,292.15,4.1
482,ishigaki,20,US,1588875938,46,57.05,-135.33,285.15,7.2
